U(V)	I(mA)
-1,75	0,049
-1,74	0,049
-1,73	0,049
-1,72	0,049
-1,71	0,049
-1,7	0,049
-1,69	0,098
-1,68	0,098
-1,67	0,098
-1,66	0,098
-1,65	0,098
-1,64	0,098
-1,63	0,098
-1,62	0,098
-1,61	0,098
-1,6	0,098
-1,59	0,098
-1,58	0,098
-1,57	0,098
-1,56	0,098
-1,55	0,098
-1,54	0,098
-1,53	0,098
-1,52	0,098
-1,51	0,098
-1,5	0,098
-1,49	0,098
-1,48	0,098
-1,47	0,098
-1,46	0,098
-1,45	0,098
-1,44	0,098
-1,43	0,098
-1,42	0,098
-1,41	0,098
-1,4	0,098
-1,39	0,098
-1,38	0,098
-1,37	0,098
-1,36	0,098
-1,35	0,098
-1,34	0,098
-1,33	0,098
-1,32	0,098
-1,31	0,098
-1,3	0,098
-1,29	0,098
-1,28	0,098
-1,27	0,098
-1,26	0,098
-1,25	0,098
-1,24	0,098
-1,23	0,098
-1,22	0,098
-1,21	0,098
-1,2	0,098
-1,19	0,098
-1,18	0,098
-1,17	0,098
-1,16	0,098
-1,15	0,098
-1,14	0,098
-1,13	0,098
-1,12	0,098
-1,11	0,098
-1,1	0,098
-1,09	0,098
-1,08	0,098
-1,07	0,098
-1,06	0,098
-1,05	0,098
-1,04	0,098
-1,03	0,098
-1,02	0,098
-1,01	0,098
-1	0,098
-0,99	0,098
-0,98	0,098
-0,97	0,098
-0,96	0,098
-0,95	0,098
-0,94	0,098
-0,93	0,098
-0,92	0,098
-0,91	0,098
-0,9	0,098
-0,89	0,098
-0,88	0,098
-0,87	0,098
-0,86	0,098
-0,85	0,098
-0,84	0,098
-0,83	0,098
-0,82	0,098
-0,81	0,098
-0,8	0,098
-0,79	0,098
-0,78	0,098
-0,77	0,098
-0,76	0,098
-0,75	0,098
-0,74	0,098
-0,73	0,098
-0,72	0,098
-0,71	0,098
-0,7	0,098
-0,69	0,098
-0,68	0,098
-0,67	0,098
-0,66	0,098
-0,65	0,098
-0,64	0,098
-0,63	0,098
-0,62	0,098
-0,61	0,098
-0,6	0,098
-0,59	0,098
-0,58	0,098
-0,57	0,098
-0,56	0,098
-0,55	0,098
-0,54	0,098
-0,53	0,098
-0,52	0,098
-0,51	0,098
-0,5	0,098
-0,49	0,098
-0,48	0,098
-0,47	0,098
-0,46	0,098
-0,45	0,098
-0,44	0,098
-0,43	0,098
-0,42	0,098
-0,41	0,098
-0,4	0,098
-0,39	0,098
-0,38	0,098
-0,37	0,098
-0,36	0,098
-0,35	0,098
-0,34	0,098
-0,33	0,098
-0,32	0,098
-0,31	0,098
-0,3	0,098
-0,29	0,098
-0,28	0,098
-0,27	0,098
-0,26	0,098
-0,25	0,098
-0,24	0,098
-0,23	0,098
-0,22	0,098
-0,21	0,098
-0,2	0,098
-0,19	0,098
-0,18	0,098
-0,17	0,098
-0,16	0,098
-0,15	0,098
-0,14	0,098
-0,13	0,098
-0,12	0,098
-0,11	0,098
-0,1	0,098
-0,09	0,098
-0,08	0,098
-0,07	0,098
-0,06	0,098
-0,05	0,098
-0,04	0,098
-0,03	0,098
-0,02	0,098
-0,01	0,098
0	0,098
0,01	0,098
0,02	0,098
0,03	0,098
0,04	0,098
0,05	0,098
0,06	0,098
0,07	0,098
0,08	0,098
0,09	0,098
0,1	0,098
0,11	0,098
0,12	0,098
0,13	0,098
0,14	0,098
0,15	0,098
0,16	0,098
0,17	0,098
0,18	0,098
0,19	0,098
0,2	0,098
0,21	0,098
0,22	0,098
0,23	0,098
0,24	0,098
0,25	0,098
0,26	0,098
0,27	0,098
0,28	0,098
0,29	0,098
0,3	0,098
0,31	0,098
0,32	0,098
0,33	0,098
0,34	0,098
0,35	0,098
0,36	0,098
0,37	0,098
0,38	0,098
0,39	0,098
0,4	0,098
0,41	0,098
0,42	0,098
0,43	0,098
0,44	0,098
0,45	0,098
0,46	0,098
0,47	0,098
0,48	0,098
0,49	0,098
0,5	0,098
0,51	0,146
0,52	0,098
0,53	0,146
0,54	0,146
0,55	0,146
0,56	0,146
0,57	0,146
0,58	0,195
0,59	0,195
0,6	0,195
0,61	0,244
0,62	0,244
0,63	0,342
0,64	0,439
0,65	0,488
0,66	0,586
0,67	0,732
0,68	0,928
0,69	1,221
0,7	1,562
0,71	2,002
0,72	2,588
0,73	3,418
0,74	4,443
0,75	5,859
0,76	7,666
0,77	9,961
0,78	12,793
0,79	16,309
0,8	20,312
0,81	25
0,82	30,322
0,83	36,377
0,84	42,773
0,85	49,902
0,86	57,471
0,87	65,527
0,88	73,877
0,89	82,764
0,9	92,09
0,91	100
